year,over15,labor_force,employee,unemployee,not_labor_force,student,house_keeper,other,male_over15,male_labor_force,male_employee,male_unemployee,male_not_labor_force,male_student,male_house_keeper,male_other,female_over15,female_labor_force,female_employee,female_unemployee,female_not_labor_force,female_student,female_house_keeper,female_other
2005,11007,6650,6356,294,4346,750,1721,1874,5323,3901,3723,178,1416,404,39,973,5684,2750,2633,116,2929,346,1681,902
2006,11020,6657,6382,275,4355,726,1718,1910,5327,3898,3730,168,1425,392,44,989,5693,2759,2652,107,2930,335,1674,921
2007,11043,6669,6412,257,4367,709,1704,1954,5342,3906,3753,154,1432,379,47,1006,5701,2763,2659,103,2935,330,1657,948
2008,11050,6650,6385,265,4395,702,1695,1998,5344,3888,3729,159,1453,375,47,1032,5706,2762,2656,106,2942,327,1648,966
2009,11050,6617,6282,336,4430,699,1657,2074,5342,3847,3644,203,1493,380,47,1067,5709,2771,2638,133,2936,320,1610,1007
2010,11049,6590,6257,334,4452,698,1655,2100,5337,3822,3615,207,1512,376,53,1083,5712,2768,2642,127,2940,322,1601,1017
2011,11042,6545,6244,300,4494,698,1668,2128,5332,3792,3607,185,1537,373,61,1103,5710,2753,2638,115,2957,325,1607,1025
2012,11098,6555,6270,285,4540,692,1658,2190,5355,3789,3616,173,1565,366,62,1136,5742,2766,2654,112,2976,325,1596,1054
2013,11088,6577,6311,265,4506,678,1592,2235,5349,3773,3610,162,1574,362,64,1149,5738,2804,2701,103,2932,316,1528,1087
2014,11082,6587,6351,236,4489,675,1549,2265,5346,3763,3621,141,1581,360,65,1156,5736,2824,2729,95,2908,315,1484,1109
2015,11077,6598,6376,222,4473,675,1523,2275,5344,3756,3622,134,1585,356,68,1160,5733,2842,2754,88,2888,318,1455,1115
2016,11078,6648,6440,208,4423,652,1492,2279,5346,3765,3639,126,1578,343,69,1166,5732,2883,2801,82,2846,309,1424,1113
2017,11108,6720,6530,190,4382,656,1457,2269,5365,3784,3672,112,1578,347,73,1159,5743,2937,2859,78,2803,309,1384,1110
2018,11101,6830,6664,166,4263,621,1377,2264,5362,3817,3717,99,1542,328,67,1147,5739,3014,2946,67,2721,293,1311,1117
2019,11092,6886,6724,162,4197,599,1327,2270,5359,3828,3733,96,1526,318,67,1142,5733,3058,2992,66,2670,282,1261,1128
2020,11080,6868,6676,191,4204,588,1314,2302,5354,3823,3709,115,1527,311,75,1141,5726,3044,2968,76,2677,277,1240,1160
2021,11044,6860,6667,193,4175,586,1265,2324,5332,3803,3687,116,1526,309,77,1139,5711,3057,2980,77,2650,276,1188,1185